"","Pentad","Median.Income","Treecov_1"
"70","2535_2805",110624,3.408793373
"71","2535_2810",110624,2.973031284
"72","2535_2815",110624,3.471057069
"73","2535_2820",110624,3.236099329
"74","2535_3140",14011,6.69133126
"75","2540_2710",221887,2.962877127
"76","2540_2715",110624,3.934045728
"77","2540_2750",110624,2.418753469
"78","2540_2800",55112,3.251717298
"79","2540_2805",110624,3.074851237
"80","2540_2810",110624,3.058868358
"81","2540_2815",110624,2.571802902
"82","2540_2820",27874,2.02842872
"83","2540_2825",27874,2.570038626
"84","2540_2830",110624,2.562604078
"85","2540_2925",55112,0.957010126
"86","2545_2535",27874,1.251523557
"87","2545_2800",27874,3.364868403
"88","2545_2805",110624,3.459452666
"89","2545_2810",110624,2.854431772
"90","2545_2815",221887,2.704936061
"91","2545_2820",443452,2.823687232
"92","2545_2825",27874,2.915731926
"93","2545_2915",110624,0.772677287
"94","2545_2925",110624,1.749537679
"95","2545_3150",14011,6.720369436
"96","2550_2800",27874,3.279060756
"97","2550_2805",221887,2.934929462
"98","2550_2810",443452,2.76870791
"99","2550_2815",221887,2.51071941
"100","2550_2820",110624,2.584580854
"101","2550_2825",55112,3.288643814
"102","2550_2905",27874,1.958951874
"103","2550_2910",55112,1.574732146
"104","2550_2915",221887,0.574281794
"105","2555_2525",14011,0.133115489
"106","2555_2750",27874,2.935484547
"107","2555_2755",27874,2.522079549
"108","2555_2800",27874,2.265037023
"109","2555_2805",221887,2.340685581
"110","2555_2810",27874,2.361569317
"111","2555_2825",55112,2.077544223
"112","2555_2910",110624,1.086090426
"113","2600_2530",14011,0.343649522
"114","2600_2735",14011,2.232278944
"115","2600_2740",27874,2.971207851
"116","2600_2745",55112,2.777346278
"117","2600_2750",55112,2.586011066
"118","2600_2755",221887,2.310426639
"119","2600_2800",443452,2.342968995
"120","2600_2805",110624,1.97794133
"121","2600_2810",27874,1.652552459
"122","2600_2815",221887,1.540745381
"123","2605_2550",27874,0.620718278
"124","2605_2735",27874,1.729548287
"125","2605_2740",55112,2.326682796
"126","2605_2745",55112,2.084173815
"127","2605_2750",221887,2.759292425
"128","2605_2755",221887,2.69811045
"129","2605_2800",221887,2.547365444
"130","2605_2805",55112,2.03462469
"131","2605_2810",221887,2.582765157
"132","2605_2815",221887,2.494286821
"133","2605_2820",55112,1.848366218
"134","2605_2825",27874,1.057414564
"135","2610_2735",27874,2.208271803
"136","2610_2740",27874,2.427655764
"137","2610_2745",27874,2.026612625
"138","2610_2750",27874,1.86566961
"139","2610_2755",55112,1.832863556
"140","2610_2800",55112,2.24664593
"141","2610_2805",110624,2.373844011
"142","2610_2810",55112,2.673505724
"143","2610_2815",110624,2.693960055
"144","2610_2820",55112,2.322371855
"145","2610_2825",55112,1.791696777
"146","2610_2830",55112,0.904295095
"147","2615_2515",14011,0.212105026
"148","2615_2735",55112,2.670290424
"149","2615_2740",14011,2.443795101
"150","2615_2745",55112,2.891486264
"151","2615_2750",27874,2.023104073
"152","2615_2755",55112,1.705699969
"153","2615_2800",221887,2.451440601
"154","2615_2805",55112,3.246687823
"155","2615_2810",55112,2.464835936
"156","2615_2815",55112,2.48157225
"157","2615_2820",27874,1.818352646
"158","2615_2825",55112,2.193598726
"159","2620_2505",14011,0.025816655
"160","2620_2510",14011,0.123637163
"161","2620_2750",27874,2.122087117
"162","2620_2755",27874,1.942910108
"163","2620_2805",27874,2.734952504
"164","2620_2810",27874,2.150364994
"165","2620_2820",27874,1.371113895
"166","2620_2825",55112,1.421476524
"167","2625_2505",14011,0.067678386
"168","2625_2750",14011,1.752416745
"169","2625_2755",55112,1.986524454
"170","2625_2800",27874,2.775610978
"171","2625_2805",14011,2.637194835
"172","2625_2820",110624,2.647602993
"173","2625_2825",110624,2.415286811
"174","2625_2905",110624,0.354684653
"175","2630_2745",14011,1.979577089
"176","2630_2750",27874,1.279175962
"177","2630_2755",27874,2.471875979
"178","2630_2800",55112,2.890042344
"179","2630_2820",55112,2.542670113
"180","2630_2900",27874,0.291178078
"181","2630_2910",221887,0.67092212
"182","2635_2745",27874,1.70592055
"183","2635_2750",27874,1.489647155
"184","2635_2755",110624,1.362887567
"185","2635_2800",110624,1.775452708
"186","2635_2805",27874,2.130706633
"187","2640_2740",27874,1.859354217
"188","2640_2745",27874,1.655229836
"189","2640_2750",27874,1.717818205
"190","2640_2755",55112,2.078036468
"191","2645_2740",27874,1.714550539
"192","2645_2745",110624,1.680334307
"193","2645_2750",221887,2.085363817
"194","2650_2635",27874,0.570249578
"195","2650_2640",110624,0.966516899
"196","2650_2645",27874,0.870718278
"197","2650_2750",27874,1.733682175
"198","2650_2800",14011,1.909122431
"199","2650_2805",27874,1.000031522
"200","2650_2810",27874,0.913188753
"201","2655_2635",27874,0.551586179
"202","2655_2640",55112,0.965553356
"203","2655_3210",14011,8.702160639
"204","2655_3215",14011,10.17513432
"205","2700_3215",14011,10.54252679
"206","2710_3210",14011,8.184359009
"207","2715_3215",14011,12.53045013
"208","2720_3205",14011,6.245336769
"209","2725_2325",110624,4.906756318
"210","2725_2440",14011,1.476639331
"211","2740_2955",110624,4.270053728
"212","2740_3000",27874,3.991956515
"213","2745_2955",55112,4.634325154
"214","2745_3000",14011,3.361548371
"215","2755_2640",110624,0.190121595
"216","2815_3200",14011,7.766581833
"217","2815_3205",14011,6.964317778
"218","2820_3205",14011,7.128088311
"219","2825_3155",14011,7.217907228
"220","2825_3200",14011,6.849593113
"221","2825_3205",27874,9.232873556
"222","2830_2850",14011,1.984153915
"223","2830_3010",14011,3.159759533
"224","2830_3020",14011,5.557566427
"225","2830_3150",14011,6.870016024
"226","2830_3155",14011,8.79024099
"227","2835_2940",27874,2.031964475
"228","2835_3150",14011,11.31534022
"229","2840_2440",27874,1.770509316
"230","2840_2445",110624,2.19349619
"231","2840_2900",14011,2.233313434
"232","2840_3150",55112,9.980780875
"233","2840_3200",110624,32.86166614
"234","2845_2445",110624,2.5407788
"235","2845_3105",14011,13.80773138
"236","2845_3150",55112,11.29403756
"237","2845_3200",221887,9.585990473
"238","2850_2915",14011,1.894921503
"239","2850_2920",14011,2.677213268
"240","2850_3100",14011,8.59532263
"241","2850_3105",14011,14.8698694
"242","2850_3150",27874,26.67095024
"243","2850_3155",27874,16.08864025
"244","2855_2930",14011,2.584720296
"245","2855_3100",14011,10.31258143
"246","2900_2605",55112,0.785050632
"247","2900_2610",221887,1.536058044
"248","2900_2615",110624,1.490625326
"249","2900_2930",14011,1.80420712
"250","2905_2605",221887,1.347461799
"251","2905_2610",55112,1.4178004
"252","2905_2615",27874,1.148113237
"253","2910_2605",55112,1.011185471
"254","2910_2610",27874,1.249002419
"255","2910_2615",27874,0.702820456
"256","2910_2640",27874,1.114221678
"257","2910_2645",27874,0.968556217
"258","2910_2650",14011,0.991835834
"259","2920_3115",27874,7.761620795
"260","2925_3010",55112,19.64372436
"261","2925_3110",27874,8.884899716
"262","2930_3010",27874,7.547572816
"263","2930_3015",221887,23.1703585
"264","2930_3020",110624,23.51035285
"265","2930_3025",27874,13.38207602
"266","2930_3040",14011,17.02053466
"267","2930_3105",27874,9.109760057
"268","2935_3005",27874,20.14057247
"269","2935_3010",27874,16.53379267
"270","2935_3015",27874,17.53307988
"271","2935_3020",55112,8.984405274
"272","2935_3025",55112,15.15308805
"273","2935_3030",27874,25.43325897
"274","2935_3035",14011,15.80716582
"275","2935_3050",27874,15.51785172
"276","2935_3100",27874,9.335972602
"277","2935_3105",55112,7.661482821
"278","2940_3005",27874,8.320116044
"279","2940_3010",27874,16.37369245
"280","2940_3015",14011,21.72432212
"281","2940_3020",27874,11.07962841
"282","2940_3025",55112,14.07528199
"283","2940_3035",27874,14.09655496
"284","2940_3040",27874,23.00570794
"285","2940_3045",27874,15.85338444
"286","2940_3050",27874,14.81143893
"287","2940_3055",27874,6.481897902
"288","2940_3100",55112,7.375174689
"289","2945_2945",14011,10.11878067
"290","2945_2955",27874,6.196559913
"291","2945_3035",27874,9.749360587
"292","2945_3040",27874,17.76772106
"293","2945_3045",221887,23.50560601
"294","2945_3050",55112,17.1932352
"295","2945_3055",55112,14.58973679
"296","2950_2940",14011,16.10410448
"297","2950_2945",14011,17.26362796
"298","2950_2950",14011,12.4080393
"299","2950_3040",14011,19.70305087
"300","2950_3045",27874,12.99577926
"301","2950_3050",55112,16.93273007
"302","2950_3055",55112,15.66048358
"303","2955_2935",14011,6.113666593
"304","2955_2940",14011,14.80844356
"305","2955_2950",14011,17.77663599
"306","2955_3040",14011,14.44661826
"307","2955_3045",14011,13.47250238
"308","2955_3050",27874,11.15832469
"309","2955_3055",55112,10.3719803
"310","3000_2935",14011,8.596589897
"311","3000_2940",14011,8.424670877
"312","3000_3045",27874,19.85568857
"313","3000_3050",27874,12.47101683
"314","3005_2940",14011,4.438495617
"315","3005_3045",27874,13.27038464
"316","3015_3040",27874,14.7600977
"317","3020_2950",14011,13.8592233
"318","3020_2955",14011,12.23595175
"319","3030_2950",27874,16.75786806
"320","3030_3025",14011,13.25523541
"321","3030_3030",27874,15.7537522
"322","3035_3025",14011,14.84514197
"323","3040_2945",14011,7.194185265
"324","3040_3025",55112,20.60735138
"325","3045_3020",27874,15.65549132
"326","3055_3010",14011,17.03334377
"327","3100_3005",14011,15.34751818
"328","3100_3010",27874,21.34658634
"329","3115_2945",14011,17.47745625
"330","3120_2920",14011,20.85374053
"331","3120_2930",14011,7.843698128
"332","3120_2935",14011,14.83343283
"333","3125_2925",14011,19.42309384
"334","3125_2930",14011,18.02640622
"335","3130_2840",14011,1.63151686
"336","3130_2845",27874,2.087788425
"337","3155_2840",14011,5.656811303
"338","3155_2905",14011,19.20757208
"339","3200_2815",14011,1.73118212
"340","3205_2815",14011,1.582586909
"341","3210_2815",14011,7.080139117
"342","3210_2820",14011,4.580412306
"343","3215_2810",27874,8.113373341
"344","3250_2720",55112,8.149181513
"345","3250_2725",27874,9.74369976
"346","3250_2745",14011,16.97004907
"347","3255_2725",27874,11.27963056
"348","3255_2745",27874,29.47789613
"349","3255_2750",110624,26.57361409
"350","3255_2755",110624,18.94142651
"351","3300_2745",27874,32.70838836
"352","3340_1825",221887,2.64190399
"353","3340_1855",55112,6.23195898
"354","3340_2520",27874,23.24176228
"355","3345_1830",55112,4.065466124
"356","3345_1835",221887,2.343471476
"357","3345_1840",110624,0.882971481
"358","3345_1855",110624,4.204125163
"359","3345_2520",27874,12.08623335
"360","3345_2535",27874,12.83280108
"361","3350_1830",110624,2.485791836
"362","3350_1835",221887,3.574072329
"363","3350_1840",110624,1.310470146
"364","3350_2515",27874,20.08130285
"365","3350_2520",14011,19.04114656
"366","3350_2530",27874,6.820267907
"367","3355_1825",221887,15.17626057
"368","3355_1830",27874,5.095941727
"369","3355_1835",27874,4.89054181
"370","3355_1840",55112,3.858670007
"371","3355_1850",27874,8.801837353
"372","3355_2520",27874,29.36585289
"373","3355_2525",110624,17.92884448
"374","3355_2530",110624,12.00040846
"375","3400_1820",55112,23.66458591
"376","3400_1825",110624,13.3910604
"377","3400_1830",27874,9.133867761
"378","3400_1835",27874,8.120578167
"379","3400_1840",27874,10.70868302
"380","3400_1845",55112,9.596970182
"381","3400_1850",221887,22.80595092
"382","3400_2210",55112,20.68581037
"383","3400_2305",27874,53.42630799
"384","3405_1820",55112,18.82524863
"385","3405_1850",55112,12.44371971
